"geo","Generalist medical practitioners","Other generalist medical practitioners","General practitioners","Gynaecologists and obstetricians","Medical group of specialists","Other specialists not elsewhere classified","General paediatricians","Psychiatrists","Specialist medical practitioners","Surgical group of specialists","GDP_cap","Population"
"AT",156.24,80.8,75.44,21.52,114.93,0.93,15.45,19.07,275.05,103.15,37090,6408.2
"BE",114.21,0,114.21,12.78,86.72,,13.74,17.27,190.15,59.63,35000,7979.1
"BG",65.72,1.68,64.03,20.45,139.29,61.89,20.85,7.77,358.78,108.54,6310,5415.8
"CH",113.92,97.04,16.87,21.63,77.27,2.3,21.5,51.72,256.25,81.84,58700,6210.3
"CY",96.91,0,96.91,20.48,122.39,0,28.85,11.52,289.93,106.69,23120,595.8
"DE",99.56,29.18,70.38,25.46,134.79,2.66,16.83,27.38,325.33,118.21,35420,62221.3
"EE",80.39,9.26,71.13,22.85,127.15,0,13.06,18.45,266.44,84.94,14440,970.5
"EL",43.25,9.34,33.91,31.6,262.14,4.85,39.59,25.46,495.21,131.56,17410,8128.3
"ES",75.93,,75.93,12.06,106.52,1.36,26.59,10.54,253.07,96,24410,34636.4
"FR",141.91,51.86,90.05,12.02,76.15,3.3,12.08,22.86,173.89,47.49,32370,45674.8
"HR",80.41,24.6,55.81,19.56,127.46,0.63,20.92,16.1,255.8,71.12,11480,3081.5
"HU",70.03,25.35,44.69,14.87,128.49,11.78,24.22,14.57,261.7,67.77,11930,7153
"IE",182.28,100.28,82,7.76,60.12,1.02,9.38,18.08,142.72,46.37,54240,3206.4
"IS",60.86,,60.86,15.73,111.82,0,5.24,23.59,231.8,75.42,38490,200.7
"IT",88.69,16.45,72.24,20.34,143.97,0,28.67,17.4,310.26,99.88,26500,46174.2
"LI",121.17,55.32,65.86,21.07,97.47,0,13.17,39.51,242.35,71.12,,
"LT",105.04,10.71,94.33,24.75,162.85,6.58,25.31,23.72,350.59,107.38,12720,2082.7
"LU",89.55,0,89.55,16.94,86.03,0,16.43,21.46,208.94,68.08,82550,415.3
"LV",72.8,0,72.8,19.72,93.5,36.76,12.77,14.67,247.7,70.28,11560,1432.2
"ME",48.68,0,48.68,18.8,106.53,0,30.37,11.25,217.88,50.93,5920,413.8
"MK",97.95,,,19.52,95.59,8.87,20.63,9.16,201.83,48.06,,1464.3
"MT",80.98,0,80.98,15.6,83.33,,17.31,10.68,210.26,83.33,20850,343.3
"NL",160.96,75.5,85.46,9.43,90.89,21.38,10.22,23.47,197.26,41.86,40730,12038.1
"NO",86.53,8.17,78.36,11.5,81.22,7.81,16.58,24.98,197.94,55.85,69130,3671.7
"PL",41.89,19.72,22.17,13.1,104.04,0.79,14.48,9.23,195.86,54.23,11820,26768.3
"PT",262.87,27.46,235.41,17.47,117.78,7.48,20.24,12.74,248.94,73.24,17650,7760.7
"RO",76.68,14.48,62.2,13.31,115.47,2.89,13.55,11.44,216,59.33,8320,14466.1
"RS",86.66,17.56,69.09,18,79.61,16.72,27.33,12.59,209.22,54.96,4950,5243.8
"SI",67.75,7.89,59.86,17.42,104,1.89,31.36,13.5,230.26,62.09,19430,1559.6
"TR",59.77,,59.77,8.92,54.82,5.8,9.17,4.62,127,43.67,11300,48017.7
"UK",75.42,,75.42,11.7,70.91,9.39,15.84,18.04,206.02,80.82,32460,45636.1
