"geo","GE10_EMP_QU1","GE10_EMP_QU3","GE10_EMP_QU4","GE10_UNE_QU1","GE10_UNE_QU3","GE10_UNE_QU4","NVR_EMP_QU1","NVR_EMP_QU3","NVR_EMP_QU4","NVR_UNE_QU1","NVR_UNE_QU3","NVR_UNE_QU4","GDP_cap","Population"
"EU28",4.3,3.6,3.2,8.2,6.6,,30.9,26.8,26.6,30.8,30.4,,27720,371157.1
"EU27",4.3,3.6,3.2,8.2,6.6,,30.8,26.7,26.5,30.5,30.2,,,
"EA19",4.2,3.5,2.9,8.2,6.9,4.4,25.6,22.8,22.4,28,27.7,28.8,30410,249597.3
"EA18",4.2,3.5,2.9,8.2,6.9,4.4,25.6,22.7,22.4,27.9,27.7,28.8,,
"BE",7.9,5,6.2,11.6,9.6,0,20.5,11.6,13.9,26.2,16.5,15.8,35000,7979.1
"BG",0.9,1.6,2.7,2.1,1.5,6,72.3,58.3,58,71.7,67.3,64.3,6310,5415.8
"CZ",5.4,4.1,3.1,13.6,,,19.5,16.5,19.1,16.8,,,17200,7929.6
"DK",15.7,17.7,18,30.9,,,20.6,19,13.5,18.6,,,47070,4068.5
"DE",5.3,4.4,3.4,19.5,26.9,32.5,12.5,11.1,11.7,10.1,4.3,0.5,35420,62221.3
"EE",2,2.6,1,1.8,0,0,39.1,31,28.7,49.1,43.6,34.2,14440,970.5
"IE",4.4,3.4,3.3,10.2,13.6,2,31,28.7,30.9,26.9,38.1,35.3,54240,3206.4
"EL",0.5,0.6,0.7,0.5,2.2,0.5,74,75.5,74.3,74.1,74.7,75.7,17410,8128.3
"ES",3.3,4.1,2.9,5.1,8.2,6.3,27.3,24.9,26.6,22.6,20.8,21.5,24410,34636.4
"FR",6.5,4.1,3.7,9.6,9.6,1.1,22.7,19.6,17.8,24.2,17.8,17.7,32370,45674.8
"HR",6.1,5.2,5.7,7.1,7,9.2,45.2,37.7,38.6,45.3,39.6,43.7,11480,3081.5
"IT",0.8,0.6,0.7,0.8,0.9,0.9,39.5,34.5,31.2,42.5,34.6,37.3,26500,46174.2
"CY",0.6,0.9,1.3,1.8,0.3,1.6,45,40.3,33.5,41.4,42.6,40,23120,595.8
"LV",4.8,4.9,4.7,6.3,3.9,7.4,26.5,22.2,17.9,43.2,18.5,34.3,11560,1432.2
"LT",3.2,3.3,3.5,4.3,4.6,8.9,31.2,29.1,30.5,41.7,39,37.7,12720,2082.7
"LU",4.9,3.5,4.4,7.7,5.2,2,13.7,11.5,14.1,15.6,13.4,6.9,82550,415.3
"HU",4.5,3.5,3.8,11.5,10,0,40.9,35.9,36,44.6,29.2,40.5,11930,7153
"MT",2.4,2.6,2.5,0.7,,,20.3,17.7,14.5,20.6,,,20850,343.3
"NL",2.8,2.4,1.8,11.3,1.7,0,32.1,35.4,33.2,22.4,32,32.3,40730,12038.1
"AT",7.7,7.5,6.5,19.2,27.6,21.3,17.4,18.3,20.4,27.4,14,9.3,37090,6408.2
"PL",4.2,2.9,3.4,6,4,2.2,50.4,41.7,40.7,49.7,43.5,49.3,11820,26768.3
"PT",2.5,3.2,2.7,5.6,7.2,0.8,23.2,20.6,22,26.6,21.1,25.5,17650,7760.7
"RO",0.9,0.3,0.4,1.2,0,0,61.2,53.6,51.4,60.9,67.3,51.8,8320,14466.1
"SI",11.3,7.8,5.6,8.6,5.3,2.1,33.9,29,25.2,36,28.9,25.4,19430,1559.6
"SK",4.2,2.3,1.9,4.7,0.7,8.9,23.6,22.2,20.4,28.2,30.2,22.7,14970,3984.6
"FI",3.4,3.1,3.8,2.7,1.8,2.7,38.4,32.2,30.3,38.6,28.2,38.8,36270,3985.8
"SE",2.8,3.2,2.1,7.8,,,40.6,40.2,41.8,28.9,,,43350,7040.8
"UK",6.5,5.8,4.6,10.3,4.4,,25.1,27.5,29.9,26.6,35.4,,32460,45636.1
"NO",6.9,7.5,5.2,4.1,,,26.7,25.2,23.7,30.6,,,69130,3671.7
"MK",3.7,3.9,2.7,7.3,4.9,4.7,62.4,66.5,65.1,63.9,71.7,73.1,,1464.3
"RS",10.2,5.4,7.4,10.4,7.3,11.3,42.3,37.1,34,42.5,42.3,36.4,4950,5243.8
